Pm2.5,Pm10,No2,So2,Co,Aqi,Date,City
187.35,208.54,21.48,18.0,5.85,242,2013-08-24,Los Angeles
11.46,113.95,68.73,14.27,8.03,101,2013-08-25,Los Angeles
193.48,145.89,66.19,31.74,3.72,76,2013-08-26,Los Angeles
138.56,280.32,68.08,17.71,3.23,152,2013-08-27,Los Angeles
69.39,233.81,94.69,23.57,1.12,160,2013-08-28,Los Angeles
100.29,157.75,76.42,33.6,1.51,179,2013-08-29,Los Angeles
70.55,79.35,78.02,27.53,9.74,208,2013-08-30,Los Angeles
163.78,116.13,88.06,8.56,4.86,480,2013-08-31,Los Angeles
17.03,210.04,5.3,17.3,4.45,36,2013-09-01,Los Angeles
132.65,268.35,32.42,37.63,2.13,336,2013-09-02,Los Angeles
174.69,142.25,28.59,38.62,3.42,363,2013-09-03,Los Angeles
135.45,175.74,13.27,7.11,8.33,170,2013-09-04,Los Angeles
94.13,288.21,53.92,8.16,7.0,366,2013-09-05,Los Angeles
154.39,159.44,53.28,2.86,2.28,26,2013-09-06,Los Angeles
99.39,82.12,56.8,4.38,6.3,340,2013-09-07,Los Angeles
32.75,259.59,81.13,18.89,3.79,336,2013-09-08,Los Angeles
55.01,244.42,63.42,9.52,7.71,390,2013-09-09,Los Angeles
20.28,66.99,39.51,14.42,7.48,489,2013-09-10,Los Angeles
171.69,131.48,36.1,17.54,4.21,374,2013-09-11,Los Angeles
52.86,139.0,65.83,19.08,2.75,432,2013-09-12,Los Angeles
129.72,207.05,84.23,49.19,4.97,197,2013-09-13,Los Angeles
168.35,94.4,16.23,20.77,9.11,151,2013-09-14,Los Angeles
133.52,22.6,16.13,22.39,4.3,107,2013-09-15,Los Angeles
61.93,224.57,56.22,31.02,0.38,427,2013-09-16,Los Angeles
186.03,291.6,65.0,2.64,7.14,114,2013-09-17,Los Angeles
131.47,145.63,62.13,39.27,4.43,322,2013-09-18,Los Angeles
166.63,214.74,79.2,3.52,5.92,472,2013-09-19,Los Angeles
106.32,141.07,96.53,6.97,5.2,206,2013-09-20,Los Angeles
49.47,37.04,92.07,15.04,0.92,417,2013-09-21,Los Angeles
191.49,21.04,17.83,20.31,4.74,78,2013-09-22,Los Angeles
174.45,216.07,21.12,44.86,2.65,481,2013-09-23,Los Angeles
130.72,149.41,83.73,20.18,1.51,271,2013-09-24,Los Angeles
190.07,249.38,15.63,30.45,3.38,161,2013-09-25,Los Angeles
50.42,51.46,25.31,42.14,1.35,420,2013-09-26,Los Angeles
13.98,154.52,88.84,17.17,3.78,241,2013-09-27,Los Angeles
20.13,92.56,23.16,16.81,1.07,5,2013-09-28,Los Angeles
58.97,253.1,56.07,23.02,2.64,183,2013-09-29,Los Angeles
126.81,249.93,85.69,5.13,5.77,475,2013-09-30,Los Angeles
88.23,188.09,52.51,35.13,2.77,415,2013-10-01,Los Angeles
34.42,134.9,45.28,21.06,8.61,481,2013-10-02,Los Angeles
72.49,139.38,46.75,12.42,0.23,45,2013-10-03,Los Angeles
174.84,47.44,65.61,25.59,3.51,329,2013-10-04,Los Angeles
133.86,159.7,84.38,44.59,2.06,313,2013-10-05,Los Angeles
111.3,291.59,11.86,22.06,5.29,316,2013-10-06,Los Angeles
13.78,157.27,82.22,41.87,9.48,387,2013-10-07,Los Angeles
24.92,23.05,59.45,33.77,7.38,181,2013-10-08,Los Angeles
64.65,276.51,39.92,27.96,3.21,101,2013-10-09,Los Angeles
47.07,105.93,21.55,19.36,7.94,169,2013-10-10,Los Angeles
142.95,59.76,92.52,15.08,1.84,309,2013-10-11,Los Angeles
131.59,96.64,79.88,45.83,1.05,436,2013-10-12,Los Angeles
108.82,156.58,89.54,35.26,3.06,280,2013-10-13,Los Angeles
186.63,35.94,89.61,42.93,8.16,459,2013-10-14,Los Angeles
89.46,80.19,33.06,29.16,5.59,317,2013-10-15,Los Angeles
160.28,149.47,48.65,35.22,7.18,153,2013-10-16,Los Angeles
12.53,298.61,21.75,40.58,3.69,360,2013-10-17,Los Angeles
14.3,250.38,65.99,31.35,0.75,67,2013-10-18,Los Angeles
135.85,21.36,91.52,27.76,5.92,321,2013-10-19,Los Angeles
127.91,255.55,24.02,33.89,7.22,218,2013-10-20,Los Angeles
84.19,220.66,70.49,20.78,9.91,136,2013-10-21,Los Angeles
78.34,80.77,73.58,35.51,7.22,140,2013-10-22,Los Angeles
11.46,284.26,82.88,41.53,3.96,204,2013-10-23,Los Angeles
23.55,60.23,78.12,8.59,5.9,440,2013-10-24,Los Angeles
27.78,250.83,33.26,17.3,1.29,463,2013-10-25,Los Angeles
81.96,180.5,63.72,4.22,2.19,317,2013-10-26,Los Angeles
166.59,136.02,56.25,29.71,9.67,11,2013-10-27,Los Angeles
104.2,261.62,44.05,9.02,1.21,323,2013-10-28,Los Angeles
180.01,126.56,90.43,34.74,3.18,211,2013-10-29,Los Angeles
66.79,127.74,7.81,10.23,0.22,86,2013-10-30,Los Angeles
171.34,115.1,69.69,41.1,9.79,166,2013-10-31,Los Angeles
64.17,106.18,6.85,40.55,4.82,336,2013-11-01,Los Angeles
27.07,34.12,28.8,36.07,0.27,84,2013-11-02,Los Angeles
164.95,32.24,56.4,24.68,4.77,100,2013-11-03,Los Angeles
62.15,248.87,93.25,31.89,3.97,139,2013-11-04,Los Angeles
176.4,65.81,59.02,44.35,8.61,417,2013-11-05,Los Angeles
107.64,36.17,81.68,5.63,1.12,29,2013-11-06,Los Angeles
175.55,185.68,17.76,5.26,2.27,393,2013-11-07,Los Angeles
193.67,143.22,73.22,21.29,8.51,17,2013-11-08,Los Angeles
138.34,228.04,52.57,47.92,5.02,400,2013-11-09,Los Angeles
35.67,80.36,20.94,11.45,0.91,292,2013-11-10,Los Angeles
151.21,52.6,22.6,9.45,6.62,72,2013-11-11,Los Angeles
165.99,101.09,48.11,32.62,6.44,21,2013-11-12,Los Angeles
13.76,158.83,26.91,16.44,3.4,165,2013-11-13,Los Angeles
198.89,65.8,62.27,35.14,7.53,440,2013-11-14,Los Angeles
40.75,177.72,77.86,46.19,3.63,212,2013-11-15,Los Angeles
85.93,294.6,68.73,38.01,2.73,161,2013-11-16,Los Angeles
150.64,287.14,84.76,4.77,3.5,219,2013-11-17,Los Angeles
84.21,57.05,98.45,11.29,0.98,398,2013-11-18,Los Angeles
153.07,244.89,18.27,15.31,1.48,406,2013-11-19,Los Angeles
99.45,191.42,23.57,2.57,2.23,94,2013-11-20,Los Angeles
152.54,36.08,66.47,15.82,7.25,456,2013-11-21,Los Angeles
113.83,52.47,8.65,12.32,5.91,202,2013-11-22,Los Angeles
114.54,63.32,29.8,31.94,2.39,372,2013-11-23,Los Angeles
101.73,266.66,44.24,23.55,7.51,180,2013-11-24,Los Angeles
142.58,189.15,14.36,20.68,8.98,69,2013-11-25,Los Angeles
144.66,217.96,49.21,46.09,4.68,252,2013-11-26,Los Angeles
193.83,75.49,51.6,39.63,3.93,447,2013-11-27,Los Angeles
67.69,111.99,45.3,24.02,6.24,468,2013-11-28,Los Angeles
101.73,31.61,49.86,37.59,7.87,353,2013-11-29,Los Angeles
20.16,161.57,11.92,44.83,6.19,28,2013-11-30,Los Angeles
162.8,182.11,42.41,16.38,1.57,270,2013-12-01,Los Angeles
70.35,150.01,24.56,40.5,9.06,57,2013-12-02,Los Angeles
117.91,95.86,68.39,34.69,0.48,156,2013-12-03,Los Angeles
122.12,297.18,27.04,45.54,1.02,56,2013-12-04,Los Angeles
192.06,226.18,97.76,45.34,1.71,51,2013-12-05,Los Angeles
124.19,20.37,72.14,45.39,9.91,199,2013-12-06,Los Angeles
57.04,121.29,91.04,22.03,7.35,154,2013-12-07,Los Angeles
157.86,124.54,87.46,19.99,1.66,418,2013-12-08,Los Angeles
28.24,168.37,41.84,38.52,7.82,340,2013-12-09,Los Angeles
158.4,93.78,42.06,23.92,9.22,444,2013-12-10,Los Angeles
178.46,296.61,24.2,46.38,1.19,20,2013-12-11,Los Angeles
25.81,36.59,32.3,8.64,2.56,370,2013-12-12,Los Angeles
157.08,63.34,22.55,33.47,2.11,462,2013-12-13,Los Angeles
57.08,221.95,80.63,36.59,7.16,209,2013-12-14,Los Angeles
107.24,289.4,56.11,3.26,4.11,434,2013-12-15,Los Angeles
96.55,32.32,84.55,44.64,2.15,419,2013-12-16,Los Angeles
47.09,168.24,47.87,21.93,9.5,169,2013-12-17,Los Angeles
97.21,146.56,54.82,38.76,0.69,96,2013-12-18,Los Angeles
162.26,23.87,11.22,38.84,3.6,150,2013-12-19,Los Angeles
42.79,94.5,22.59,21.85,6.48,490,2013-12-20,Los Angeles
158.08,257.11,36.45,30.07,7.48,230,2013-12-21,Los Angeles
193.1,231.24,61.38,4.74,9.84,42,2013-12-22,Los Angeles
27.41,241.13,21.96,12.56,9.22,288,2013-12-23,Los Angeles
148.73,197.56,47.56,9.4,4.14,86,2013-12-24,Los Angeles
91.58,114.36,49.61,31.5,9.51,248,2013-12-25,Los Angeles
154.0,248.08,71.0,29.51,6.43,404,2013-12-26,Los Angeles
168.49,254.34,89.01,27.21,2.92,127,2013-12-27,Los Angeles
169.53,165.56,85.76,42.81,6.62,291,2013-12-28,Los Angeles
32.69,64.34,57.63,20.96,7.07,51,2013-12-29,Los Angeles
22.49,127.03,86.17,40.4,4.09,70,2013-12-30,Los Angeles
131.28,235.09,48.09,30.1,0.65,343,2013-12-31,Los Angeles
61.77,39.14,54.97,22.95,3.52,44,2014-01-01,Los Angeles
190.62,66.36,95.15,13.68,6.61,169,2014-01-02,Los Angeles
18.04,69.69,70.61,8.07,3.11,259,2014-01-03,Los Angeles
94.44,140.99,88.75,16.01,9.73,35,2014-01-04,Los Angeles
79.11,49.13,90.95,19.3,1.33,184,2014-01-05,Los Angeles
107.43,177.67,69.01,33.15,0.49,463,2014-01-06,Los Angeles
189.88,158.61,58.5,15.89,9.27,494,2014-01-07,Los Angeles
78.35,35.52,24.49,45.33,6.86,254,2014-01-08,Los Angeles
155.61,220.63,54.04,39.55,7.46,422,2014-01-09,Los Angeles
183.03,246.81,58.11,37.57,0.71,187,2014-01-10,Los Angeles
155.29,86.06,23.92,49.28,0.6,183,2014-01-11,Los Angeles
38.68,38.41,19.14,24.72,0.74,143,2014-01-12,Los Angeles
168.41,230.19,6.36,35.99,6.95,366,2014-01-13,Los Angeles
134.64,292.35,50.7,12.71,5.1,28,2014-01-14,Los Angeles
23.09,138.06,59.27,40.63,6.22,132,2014-01-15,Los Angeles
141.86,177.11,7.49,40.33,2.55,148,2014-01-16,Los Angeles
24.67,90.66,97.89,35.68,1.94,304,2014-01-17,Los Angeles
182.01,139.08,60.21,45.61,2.42,343,2014-01-18,Los Angeles
78.11,83.5,46.4,30.4,7.6,482,2014-01-19,Los Angeles
163.61,130.08,52.73,28.77,0.36,56,2014-01-20,Los Angeles
195.13,57.42,64.28,24.23,9.66,277,2014-01-21,Los Angeles
77.42,55.68,64.2,34.72,5.5,108,2014-01-22,Los Angeles
90.52,57.93,12.24,46.88,8.79,371,2014-01-23,Los Angeles
28.18,46.78,71.64,14.9,8.74,425,2014-01-24,Los Angeles
180.84,188.0,27.59,34.24,4.56,246,2014-01-25,Los Angeles
156.98,236.71,5.17,25.35,8.23,365,2014-01-26,Los Angeles
107.68,299.18,69.91,24.91,7.5,292,2014-01-27,Los Angeles
84.24,34.51,92.88,27.56,9.16,325,2014-01-28,Los Angeles
128.06,195.71,87.52,39.33,2.06,140,2014-01-29,Los Angeles
64.94,111.91,50.28,19.89,7.58,289,2014-01-30,Los Angeles
74.98,184.09,92.43,48.61,3.48,390,2014-01-31,Los Angeles
111.3,213.2,38.53,34.23,5.56,35,2014-02-01,Los Angeles
18.68,204.7,57.45,17.54,3.09,36,2014-02-02,Los Angeles
34.97,88.04,25.36,46.83,0.83,437,2014-02-03,Los Angeles
98.17,168.72,56.26,8.66,6.27,410,2014-02-04,Los Angeles
124.49,113.92,55.16,35.8,6.62,213,2014-02-05,Los Angeles
79.12,188.51,93.21,36.45,6.92,4,2014-02-06,Los Angeles
58.42,127.83,91.02,8.69,3.02,102,2014-02-07,Los Angeles
144.2,136.5,17.15,18.3,1.92,336,2014-02-08,Los Angeles
97.08,117.43,39.72,17.1,4.46,491,2014-02-09,Los Angeles
100.71,107.65,88.76,22.36,6.26,353,2014-02-10,Los Angeles
93.51,185.84,36.85,8.51,5.16,299,2014-02-11,Los Angeles
130.63,236.68,25.29,17.07,9.07,41,2014-02-12,Los Angeles
99.03,57.52,65.59,47.04,7.39,353,2014-02-13,Los Angeles
90.87,123.42,81.82,29.24,7.95,320,2014-02-14,Los Angeles
79.11,163.68,38.07,43.06,4.88,261,2014-02-15,Los Angeles
85.44,216.85,12.41,43.25,6.78,360,2014-02-16,Los Angeles
32.15,196.54,33.7,45.8,3.18,187,2014-02-17,Los Angeles
129.93,193.95,80.47,19.76,1.88,215,2014-02-18,Los Angeles
45.25,233.88,19.04,10.26,7.08,319,2014-02-19,Los Angeles
122.5,254.77,35.13,43.93,3.61,392,2014-02-20,Los Angeles
60.67,205.64,86.12,2.58,0.73,57,2014-02-21,Los Angeles
194.38,57.2,11.89,19.31,0.47,404,2014-02-22,Los Angeles
132.33,131.84,14.35,25.06,5.99,362,2014-02-23,Los Angeles
190.76,207.39,64.55,4.58,7.32,148,2014-02-24,Los Angeles
73.37,204.93,8.89,17.36,0.21,3,2014-02-25,Los Angeles
70.58,95.67,65.53,43.38,5.38,288,2014-02-26,Los Angeles
23.54,150.79,87.74,34.96,3.47,309,2014-02-27,Los Angeles
130.83,252.67,19.23,26.71,1.17,157,2014-02-28,Los Angeles
57.91,59.69,75.3,47.67,2.3,408,2014-03-01,Los Angeles
22.18,39.07,51.24,8.0,2.93,400,2014-03-02,Los Angeles
10.95,273.79,74.54,30.7,5.4,89,2014-03-03,Los Angeles
17.77,61.73,60.09,24.74,5.21,283,2014-03-04,Los Angeles
93.95,286.56,8.02,31.0,8.44,144,2014-03-05,Los Angeles
114.5,262.15,43.8,15.45,0.57,286,2014-03-06,Los Angeles
74.97,255.56,68.58,27.91,3.55,187,2014-03-07,Los Angeles
44.03,152.89,28.21,13.44,5.45,146,2014-03-08,Los Angeles
49.7,298.21,87.73,20.31,2.07,43,2014-03-09,Los Angeles
183.32,172.85,30.65,40.81,9.64,194,2014-03-10,Los Angeles
182.09,253.34,79.31,35.69,1.06,162,2014-03-11,Los Angeles
175.13,216.51,41.58,43.98,8.86,450,2014-03-12,Los Angeles
138.18,245.17,23.59,31.21,7.0,370,2014-03-13,Los Angeles
163.38,95.76,88.92,30.91,6.85,282,2014-03-14,Los Angeles
114.1,189.95,59.3,3.81,3.96,347,2014-03-15,Los Angeles
123.28,103.4,5.59,27.68,7.85,304,2014-03-16,Los Angeles
62.61,270.11,23.35,28.13,6.7,22,2014-03-17,Los Angeles
35.53,85.49,59.68,40.2,5.15,189,2014-03-18,Los Angeles
98.78,297.88,43.31,18.7,7.96,436,2014-03-19,Los Angeles
128.29,243.2,34.04,34.11,4.68,310,2014-03-20,Los Angeles
127.1,106.43,5.06,30.56,9.62,192,2014-03-21,Los Angeles
148.41,215.58,17.68,24.13,5.09,433,2014-03-22,Los Angeles
109.64,201.06,51.43,7.62,4.58,87,2014-03-23,Los Angeles
116.74,168.29,70.35,2.1,0.48,120,2014-03-24,Los Angeles
91.94,184.09,66.21,45.04,6.23,94,2014-03-25,Los Angeles
177.25,90.3,24.96,10.27,3.96,248,2014-03-26,Los Angeles
21.33,175.4,28.61,26.78,4.83,186,2014-03-27,Los Angeles
41.12,240.78,51.8,41.11,7.49,25,2014-03-28,Los Angeles
172.46,45.88,29.38,22.72,8.79,155,2014-03-29,Los Angeles
98.06,58.34,83.99,22.81,6.83,430,2014-03-30,Los Angeles
91.42,107.17,82.72,39.84,2.08,16,2014-03-31,Los Angeles
39.55,121.77,53.58,39.3,1.16,279,2014-04-01,Los Angeles
147.93,258.46,48.65,12.81,8.95,65,2014-04-02,Los Angeles
49.16,166.72,28.81,48.2,1.8,347,2014-04-03,Los Angeles
82.08,256.16,45.13,44.74,0.42,303,2014-04-04,Los Angeles
145.14,108.84,12.99,11.11,7.83,90,2014-04-05,Los Angeles
45.59,94.94,44.32,32.91,0.55,22,2014-04-06,Los Angeles
177.49,66.78,97.73,41.64,4.25,322,2014-04-07,Los Angeles
123.27,150.67,62.95,30.74,3.86,166,2014-04-08,Los Angeles
109.61,141.36,92.55,28.37,5.79,58,2014-04-09,Los Angeles
86.03,35.7,74.76,35.6,7.46,47,2014-04-10,Los Angeles
196.34,150.78,27.03,18.52,3.17,489,2014-04-11,Los Angeles
158.6,144.44,66.41,36.82,8.4,144,2014-04-12,Los Angeles
59.45,75.7,40.52,48.8,9.23,367,2014-04-13,Los Angeles
59.59,257.21,26.31,42.45,9.79,317,2014-04-14,Los Angeles
197.87,248.94,39.23,18.04,3.64,305,2014-04-15,Los Angeles
65.28,239.48,74.99,5.19,7.44,422,2014-04-16,Los Angeles
116.8,195.41,19.44,34.58,7.5,479,2014-04-17,Los Angeles
118.27,144.53,63.01,31.65,7.32,160,2014-04-18,Los Angeles
165.29,43.69,27.99,28.54,1.71,29,2014-04-19,Los Angeles
23.76,221.19,16.33,14.03,3.71,474,2014-04-20,Los Angeles
36.36,188.82,70.6,36.7,1.3,38,2014-04-21,Los Angeles
179.9,179.72,39.02,11.17,9.1,413,2014-04-22,Los Angeles
73.56,236.28,88.25,12.7,6.17,446,2014-04-23,Los Angeles
30.45,253.05,39.75,3.46,8.9,376,2014-04-24,Los Angeles
81.09,24.57,94.86,46.62,5.33,7,2014-04-25,Los Angeles
18.61,151.87,34.35,42.99,4.67,72,2014-04-26,Los Angeles
38.54,260.17,99.86,18.05,3.72,429,2014-04-27,Los Angeles
145.17,56.94,88.52,49.48,8.72,143,2014-04-28,Los Angeles
125.98,200.16,50.43,20.24,2.92,359,2014-04-29,Los Angeles
128.4,25.01,14.75,32.04,8.29,484,2014-04-30,Los Angeles
35.6,125.85,78.84,42.28,3.64,59,2014-05-01,Los Angeles
96.46,40.33,57.93,49.16,7.39,418,2014-05-02,Los Angeles
195.49,188.88,91.27,29.7,1.28,69,2014-05-03,Los Angeles
180.1,68.82,73.59,20.33,2.91,55,2014-05-04,Los Angeles
104.0,283.41,38.46,3.04,8.64,333,2014-05-05,Los Angeles
58.68,299.36,7.18,22.04,5.96,133,2014-05-06,Los Angeles
14.12,33.38,28.44,41.45,0.22,37,2014-05-07,Los Angeles
105.31,35.43,38.85,26.04,2.65,97,2014-05-08,Los Angeles
136.09,161.38,36.14,24.44,1.04,34,2014-05-09,Los Angeles
114.91,240.03,55.37,4.28,7.9,238,2014-05-10,Los Angeles
36.3,174.91,10.5,33.49,4.36,280,2014-05-11,Los Angeles
59.12,211.6,38.61,27.35,8.44,61,2014-05-12,Los Angeles
33.32,165.49,89.14,43.26,1.72,163,2014-05-13,Los Angeles
48.9,228.55,79.25,19.67,3.5,20,2014-05-14,Los Angeles
186.36,81.52,63.64,13.93,1.28,185,2014-05-15,Los Angeles
85.73,193.16,63.62,13.86,1.83,361,2014-05-16,Los Angeles
179.1,128.57,16.93,33.54,3.78,176,2014-05-17,Los Angeles
127.02,168.29,90.15,39.03,1.39,221,2014-05-18,Los Angeles
30.57,68.42,33.21,2.16,3.59,438,2014-05-19,Los Angeles
70.08,133.49,17.3,15.83,0.42,70,2014-05-20,Los Angeles
193.59,221.64,29.28,8.51,1.81,101,2014-05-21,Los Angeles
111.33,50.76,13.33,24.58,6.62,4,2014-05-22,Los Angeles
127.63,109.8,52.23,35.44,2.26,276,2014-05-23,Los Angeles
19.44,229.08,9.32,33.62,9.31,113,2014-05-24,Los Angeles
48.53,279.98,24.29,25.44,7.74,408,2014-05-25,Los Angeles
28.51,249.0,49.16,46.5,0.47,461,2014-05-26,Los Angeles
83.23,199.06,74.68,15.26,1.25,459,2014-05-27,Los Angeles
162.62,135.84,28.13,7.15,3.53,300,2014-05-28,Los Angeles
109.93,173.08,36.99,47.76,1.39,461,2014-05-29,Los Angeles
86.72,199.18,77.09,16.67,4.58,370,2014-05-30,Los Angeles
40.67,222.04,63.41,16.94,5.67,273,2014-05-31,Los Angeles
138.17,71.31,86.33,40.9,3.99,58,2014-06-01,Los Angeles
11.64,90.88,5.94,21.82,9.39,164,2014-06-02,Los Angeles
39.9,101.38,71.31,10.03,0.83,424,2014-06-03,Los Angeles
31.5,22.97,57.64,3.82,4.79,282,2014-06-04,Los Angeles
176.4,230.52,51.34,12.43,8.56,388,2014-06-05,Los Angeles
24.31,136.03,7.73,18.85,2.4,44,2014-06-06,Los Angeles
32.32,142.13,55.5,12.72,0.95,103,2014-06-07,Los Angeles
144.89,293.67,28.52,5.75,7.46,76,2014-06-08,Los Angeles
55.34,89.56,6.15,37.52,2.2,391,2014-06-09,Los Angeles
161.44,29.55,48.54,24.99,3.06,130,2014-06-10,Los Angeles
163.59,273.57,7.6,16.93,2.82,112,2014-06-11,Los Angeles
108.52,243.56,79.03,44.73,5.1,171,2014-06-12,Los Angeles
110.15,220.9,10.55,27.54,5.06,408,2014-06-13,Los Angeles
173.93,247.8,11.31,6.37,0.91,227,2014-06-14,Los Angeles
101.18,29.51,61.2,44.57,8.05,230,2014-06-15,Los Angeles
32.57,211.37,13.39,20.81,9.16,59,2014-06-16,Los Angeles
17.04,294.52,53.18,9.34,4.55,470,2014-06-17,Los Angeles
25.78,182.52,34.66,33.44,9.14,103,2014-06-18,Los Angeles
129.89,149.14,32.9,18.23,3.04,174,2014-06-19,Los Angeles
12.89,179.04,25.61,25.99,7.55,168,2014-06-20,Los Angeles
13.31,211.74,71.59,13.1,1.64,453,2014-06-21,Los Angeles
114.29,200.27,31.08,39.44,1.96,262,2014-06-22,Los Angeles
199.86,292.21,9.58,23.01,6.44,277,2014-06-23,Los Angeles
91.75,208.54,59.64,17.31,9.4,304,2014-06-24,Los Angeles
34.25,74.98,77.4,8.29,3.67,238,2014-06-25,Los Angeles
42.06,290.51,37.31,6.98,1.94,357,2014-06-26,Los Angeles
45.59,216.96,99.82,46.43,4.5,388,2014-06-27,Los Angeles
17.28,285.83,29.31,21.11,4.13,411,2014-06-28,Los Angeles
82.22,210.64,49.81,13.92,9.51,365,2014-06-29,Los Angeles
79.09,192.01,21.05,34.11,5.48,338,2014-06-30,Los Angeles
18.45,225.65,59.98,35.46,3.8,300,2014-07-01,Los Angeles
98.64,182.27,44.32,41.85,1.0,299,2014-07-02,Los Angeles
158.37,98.36,56.61,25.83,9.13,28,2014-07-03,Los Angeles
165.08,130.15,61.73,4.45,2.87,157,2014-07-04,Los Angeles
10.37,90.64,18.89,41.29,3.98,313,2014-07-05,Los Angeles
87.79,128.64,27.58,42.75,0.83,485,2014-07-06,Los Angeles
79.5,134.87,10.93,4.58,4.13,276,2014-07-07,Los Angeles
169.68,200.26,43.11,32.58,9.56,91,2014-07-08,Los Angeles
16.66,275.57,81.1,23.41,7.86,493,2014-07-09,Los Angeles
96.36,168.1,89.09,23.07,7.59,34,2014-07-10,Los Angeles
129.82,114.63,75.51,20.7,5.76,498,2014-07-11,Los Angeles
53.31,238.91,23.09,16.08,7.91,51,2014-07-12,Los Angeles
97.12,104.23,78.5,30.99,9.29,165,2014-07-13,Los Angeles
179.31,81.21,70.7,25.39,4.36,482,2014-07-14,Los Angeles
139.28,265.05,52.06,48.09,8.68,442,2014-07-15,Los Angeles
20.99,260.53,97.63,39.89,2.38,347,2014-07-16,Los Angeles
103.59,272.99,50.36,44.01,6.98,380,2014-07-17,Los Angeles
158.93,168.96,68.6,49.62,5.94,306,2014-07-18,Los Angeles
102.7,239.84,19.22,17.13,6.0,20,2014-07-19,Los Angeles
190.69,35.17,18.16,33.34,9.51,376,2014-07-20,Los Angeles
29.91,194.37,49.6,47.09,4.92,120,2014-07-21,Los Angeles
75.12,175.52,9.85,21.17,8.95,338,2014-07-22,Los Angeles
166.91,98.93,64.85,7.89,5.92,122,2014-07-23,Los Angeles
126.98,96.61,20.5,25.68,1.55,249,2014-07-24,Los Angeles
40.8,85.37,24.19,11.79,9.15,72,2014-07-25,Los Angeles
44.47,79.33,31.7,13.09,2.38,219,2014-07-26,Los Angeles
175.05,192.77,38.07,22.54,4.26,245,2014-07-27,Los Angeles
123.61,22.73,95.84,41.38,2.39,223,2014-07-28,Los Angeles
185.22,56.58,63.42,49.54,5.41,159,2014-07-29,Los Angeles
151.29,231.77,47.45,42.32,2.2,306,2014-07-30,Los Angeles
192.95,174.67,19.3,40.17,0.82,205,2014-07-31,Los Angeles
155.27,135.29,42.03,21.01,3.04,23,2014-08-01,Los Angeles
28.85,29.25,80.3,11.13,8.17,455,2014-08-02,Los Angeles
181.48,42.76,41.15,42.91,8.7,376,2014-08-03,Los Angeles
77.43,214.22,30.22,21.46,0.16,165,2014-08-04,Los Angeles
53.3,112.91,53.34,6.01,1.08,352,2014-08-05,Los Angeles
72.9,90.0,97.21,16.36,7.14,169,2014-08-06,Los Angeles
123.18,58.35,26.01,34.57,0.57,317,2014-08-07,Los Angeles
154.7,168.65,65.77,46.85,8.42,204,2014-08-08,Los Angeles
89.96,267.12,46.12,42.92,2.43,181,2014-08-09,Los Angeles
188.25,51.8,10.32,13.49,1.77,184,2014-08-10,Los Angeles
165.56,118.91,70.88,35.77,9.7,213,2014-08-11,Los Angeles
199.48,122.04,53.07,21.73,9.7,348,2014-08-12,Los Angeles
127.14,237.46,81.73,19.42,5.14,244,2014-08-13,Los Angeles
128.44,145.46,94.82,39.48,7.54,410,2014-08-14,Los Angeles
83.93,144.26,44.7,42.79,3.62,199,2014-08-15,Los Angeles
179.87,62.77,99.37,33.68,2.66,332,2014-08-16,Los Angeles
122.04,144.83,69.56,48.99,5.29,353,2014-08-17,Los Angeles
117.08,261.89,95.62,42.74,9.89,225,2014-08-18,Los Angeles
98.37,227.87,41.39,19.93,5.78,179,2014-08-19,Los Angeles
196.12,130.41,90.13,22.07,7.98,162,2014-08-20,Los Angeles
176.35,20.98,20.52,9.95,8.97,452,2014-08-21,Los Angeles
153.12,255.12,89.36,44.45,3.22,159,2014-08-22,Los Angeles
192.48,76.46,69.45,38.29,6.87,424,2014-08-23,Los Angeles
164.2,159.05,11.57,32.0,3.54,282,2014-08-24,Los Angeles
151.83,126.13,15.75,38.58,2.52,30,2014-08-25,Los Angeles
78.95,138.77,98.4,7.0,5.88,342,2014-08-26,Los Angeles
29.09,87.81,5.69,22.84,5.28,457,2014-08-27,Los Angeles
91.73,173.1,92.02,31.35,4.29,399,2014-08-28,Los Angeles
195.71,86.26,97.06,15.9,2.29,217,2014-08-29,Los Angeles
71.19,144.89,38.37,23.84,1.72,453,2014-08-30,Los Angeles
76.38,276.46,73.74,40.61,7.06,351,2014-08-31,Los Angeles
21.96,164.32,73.28,22.54,8.2,402,2014-09-01,Los Angeles
36.06,253.96,94.27,39.7,7.2,56,2014-09-02,Los Angeles
28.47,45.39,20.69,35.66,5.61,182,2014-09-03,Los Angeles
105.35,171.78,17.69,47.87,9.27,58,2014-09-04,Los Angeles
15.0,21.14,76.98,36.02,4.19,271,2014-09-05,Los Angeles
38.7,246.07,83.12,45.49,3.12,227,2014-09-06,Los Angeles
172.7,138.46,43.93,44.06,9.61,116,2014-09-07,Los Angeles
187.91,82.84,10.45,35.71,7.2,371,2014-09-08,Los Angeles
110.57,48.97,88.87,46.43,8.06,10,2014-09-09,Los Angeles
183.99,46.34,41.75,28.34,3.48,455,2014-09-10,Los Angeles
196.41,260.72,74.76,13.91,0.66,342,2014-09-11,Los Angeles
154.0,267.09,71.78,26.68,4.01,476,2014-09-12,Los Angeles
138.02,21.14,70.51,12.09,7.29,245,2014-09-13,Los Angeles
110.02,79.02,56.4,45.66,4.96,476,2014-09-14,Los Angeles
96.9,200.1,70.31,5.93,1.47,172,2014-09-15,Los Angeles
